,name,ratio,k_size,max_dist,fidelity,n_segs,img_num
235,quickshift,0.01,8,1000,0.21050268738586753,14,29
236,quickshift,0.2,3,100,0.13312970161249515,73,29
237,quickshift,0.2,3,1000,0.15518272895716656,73,29
238,quickshift,0.2,8,100,0.19040168102847765,14,29
239,quickshift,0.2,8,1000,0.24179996827219696,14,29
240,quickshift,0.01,3,100,0.1450829208452119,74,30
241,quickshift,0.01,3,1000,0.13792220899728858,74,30
242,quickshift,0.01,8,100,0.37292933510287674,9,30
243,quickshift,0.01,8,1000,0.3479949442305642,9,30
244,quickshift,0.2,3,100,0.16043156557627336,76,30
245,quickshift,0.2,3,1000,0.15732889854181176,76,30
246,quickshift,0.2,8,100,0.22248889721110998,11,30
247,quickshift,0.2,8,1000,0.28544461103453067,11,30
248,quickshift,0.01,3,100,0.2262906123980004,62,31
249,quickshift,0.01,3,1000,0.2736518249645351,62,31
250,quickshift,0.01,8,100,0.3715648888907702,9,31
251,quickshift,0.01,8,1000,0.39214339774038387,9,31
252,quickshift,0.2,3,100,0.30135856327112465,67,31
253,quickshift,0.2,3,1000,0.2708535561256371,67,31
254,quickshift,0.2,8,100,0.283093970475665,9,31
255,quickshift,0.2,8,1000,0.33947446225062694,9,31
256,quickshift,0.01,3,100,0.1262668194084089,67,32
257,quickshift,0.01,3,1000,0.13237314467563377,67,32
258,quickshift,0.01,8,100,0.5788975602298665,7,32
259,quickshift,0.01,8,1000,0.5404768498117698,7,32
260,quickshift,0.2,3,100,0.14349692371180445,67,32
261,quickshift,0.2,3,1000,0.1519497550319523,67,32
262,quickshift,0.2,8,100,0.5155817352185812,7,32
263,quickshift,0.2,8,1000,0.48060540788553047,7,32
264,quickshift,0.01,3,100,0.11796268253635211,63,33
265,quickshift,0.01,3,1000,0.11461984872321329,63,33
266,quickshift,0.01,8,100,0.07731672624731345,9,33
267,quickshift,0.01,8,1000,0.07399004278403087,9,33
268,quickshift,0.2,3,100,0.11945651527635825,65,33
269,quickshift,0.2,3,1000,0.1169500926749455,65,33
270,quickshift,0.2,8,100,0.0797282405976606,9,33
271,quickshift,0.2,8,1000,0.07503728575166035,9,33
272,quickshift,0.01,3,100,0.11251371510756691,61,34
273,quickshift,0.01,3,1000,0.12695013990566362,61,34
274,quickshift,0.01,8,100,0.5022216186305352,11,34
275,quickshift,0.01,8,1000,0.5395457165707165,11,34
276,quickshift,0.2,3,100,0.13000367894708553,68,34
277,quickshift,0.2,3,1000,0.13219623826195703,68,34
278,quickshift,0.2,8,100,0.5033546087589862,12,34
279,quickshift,0.2,8,1000,0.4152511294840596,12,34
280,quickshift,0.01,3,100,0.12613537399529096,67,35
281,quickshift,0.01,3,1000,0.1211970426090988,67,35
282,quickshift,0.01,8,100,0.12261324236636684,11,35
283,quickshift,0.01,8,1000,0.09476969183227646,11,35
284,quickshift,0.2,3,100,0.12622476391129966,67,35
285,quickshift,0.2,3,1000,0.1197638384362768,67,35
286,quickshift,0.2,8,100,0.09486319979584569,12,35
287,quickshift,0.2,8,1000,0.07599115804304435,12,35
288,quickshift,0.01,3,100,0.18783757774789733,64,36
289,quickshift,0.01,3,1000,0.20790286526312374,64,36
290,quickshift,0.01,8,100,0.47074585040567707,8,36
291,quickshift,0.01,8,1000,0.49793714225397534,8,36
292,quickshift,0.2,3,100,0.26599512643752854,68,36
293,quickshift,0.2,3,1000,0.2728139589737051,68,36
294,quickshift,0.2,8,100,0.49517368941147605,10,36
295,quickshift,0.2,8,1000,0.5026602792225785,10,36
296,quickshift,0.01,3,100,0.3343754152476408,71,37
297,quickshift,0.01,3,1000,0.34291649046867867,71,37
298,quickshift,0.01,8,100,0.9084605306483912,11,37
299,quickshift,0.01,8,1000,0.9191692790575067,11,37
300,quickshift,0.2,3,100,0.36821894594376525,75,37
301,quickshift,0.2,3,1000,0.33217508901442905,75,37
302,quickshift,0.2,8,100,0.9977728766856467,10,37
303,quickshift,0.2,8,1000,0.9935072907430805,10,37
304,quickshift,0.01,3,100,0.2145680680735813,53,38
305,quickshift,0.01,3,1000,0.16995592231647239,53,38
