,name,sigma,scale,fidelity,n_segs,img_num
276,felzenszwalb,10,10,0.23538685393091796,131,69
277,felzenszwalb,100,10,0.2665745306769146,1,69
278,felzenszwalb,10,25,0.21911295929016364,34,69
279,felzenszwalb,100,25,0.268674926586542,1,69
280,felzenszwalb,10,10,0.15562466963311083,89,70
281,felzenszwalb,100,10,0.9990916480514757,2,70
282,felzenszwalb,10,25,0.049352188808528874,25,70
283,felzenszwalb,100,25,0.9990815126420974,2,70
284,felzenszwalb,10,10,0.20131958044949072,113,71
285,felzenszwalb,100,10,0.7659909742910345,3,71
286,felzenszwalb,10,25,0.08495416769974928,36,71
287,felzenszwalb,100,25,0.9992042854913543,2,71
288,felzenszwalb,10,10,0.12934829689663319,65,72
289,felzenszwalb,100,10,0.255934743792803,1,72
290,felzenszwalb,10,25,0.20779252492105973,18,72
291,felzenszwalb,100,25,0.2610706991864915,1,72
292,felzenszwalb,10,10,0.17199840361361463,102,73
293,felzenszwalb,100,10,0.2357579792806641,141,73
294,felzenszwalb,10,25,0.049691449834364805,28,73
295,felzenszwalb,100,25,0.18146032193333705,97,73
296,felzenszwalb,10,10,0.37547369735353775,223,74
297,felzenszwalb,100,10,0.9901821482380215,3,74
298,felzenszwalb,10,25,0.12692605298006954,63,74
299,felzenszwalb,100,25,0.26699533773007267,1,74
300,felzenszwalb,10,10,0.31039077286136285,195,75
301,felzenszwalb,100,10,0.2619214907773062,1,75
302,felzenszwalb,10,25,0.2128300408516388,92,75
303,felzenszwalb,100,25,0.2765741626472462,1,75
304,felzenszwalb,10,10,0.13547495696392742,77,76
305,felzenszwalb,100,10,0.1870715678082766,97,76
306,felzenszwalb,10,25,0.37667125965547865,22,76
307,felzenszwalb,100,25,0.27409364285221605,1,76
308,felzenszwalb,10,10,0.5067329581181668,117,77
309,felzenszwalb,100,10,0.2224361396687341,127,77
310,felzenszwalb,10,25,0.754323553469291,47,77
311,felzenszwalb,100,25,0.6594278920327865,88,77
312,felzenszwalb,10,10,0.41382038367677854,247,78
313,felzenszwalb,100,10,0.264887651198469,1,78
314,felzenszwalb,10,25,0.26902442489198686,76,78
315,felzenszwalb,100,25,0.2619214907803238,1,78
316,felzenszwalb,10,10,0.21743802882970842,125,79
317,felzenszwalb,100,10,0.9991124938024417,2,79
318,felzenszwalb,10,25,0.08946132923006966,28,79
319,felzenszwalb,100,25,0.25679446815162754,1,79
320,felzenszwalb,10,10,0.2699005547114959,195,80
321,felzenszwalb,100,10,0.3377102760633507,201,80
322,felzenszwalb,10,25,0.13584398226306826,53,80
323,felzenszwalb,100,25,0.30346586854153523,181,80
324,felzenszwalb,10,10,0.440225476610988,119,81
325,felzenszwalb,100,10,0.999868096249402,2,81
326,felzenszwalb,10,25,0.7921526381106025,42,81
327,felzenszwalb,100,25,0.2674157804238585,1,81
328,felzenszwalb,10,10,0.14090571950071729,137,82
329,felzenszwalb,100,10,0.48041880683786875,58,82
330,felzenszwalb,10,25,0.1135454898344681,50,82
331,felzenszwalb,100,25,0.700386730138079,3,82
332,felzenszwalb,10,10,0.2417581929805498,143,83
333,felzenszwalb,100,10,0.3087366418213118,157,83
334,felzenszwalb,10,25,0.5055637091588548,45,83
335,felzenszwalb,100,25,0.2929597163707057,110,83
336,felzenszwalb,10,10,0.27786396936907176,183,84
337,felzenszwalb,100,10,0.2956933215093216,131,84
338,felzenszwalb,10,25,0.4243547098706395,55,84
339,felzenszwalb,100,25,0.69955065517685,86,84
340,felzenszwalb,10,10,0.25377741258228137,142,85
341,felzenszwalb,100,10,0.49202941787142046,68,85
342,felzenszwalb,10,25,0.23805119376436723,49,85
343,felzenszwalb,100,25,0.8633967718368493,3,85
344,felzenszwalb,10,10,0.10248173242539092,56,86
345,felzenszwalb,100,10,0.24848906782851354,145,86
346,felzenszwalb,10,25,0.06857028492875816,28,86
347,felzenszwalb,100,25,0.09963590931303568,51,86
348,felzenszwalb,10,10,0.2041744465412716,123,87
349,felzenszwalb,100,10,0.18627471669958684,103,87
350,felzenszwalb,10,25,0.4697734226492324,35,87
351,felzenszwalb,100,25,0.48321070514774644,61,87
352,felzenszwalb,10,10,0.2645534786893392,150,88
353,felzenszwalb,100,10,0.27739815647682464,1,88
354,felzenszwalb,10,25,0.13912150666858392,64,88
355,felzenszwalb,100,25,0.2631949097010007,1,88
356,felzenszwalb,10,10,0.2418121934896962,158,89
357,felzenszwalb,100,10,0.27034871228768,1,89
358,felzenszwalb,10,25,0.4838890871190852,39,89
359,felzenszwalb,100,25,0.26530991961009454,1,89
360,felzenszwalb,10,10,0.25409871399492956,151,90
361,felzenszwalb,100,10,0.9991515008738064,2,90
362,felzenszwalb,10,25,0.08789695143387843,47,90
363,felzenszwalb,100,25,0.25979173476050144,1,90
364,felzenszwalb,10,10,0.14513819955479523,72,91
365,felzenszwalb,100,10,0.1673667263052645,98,91
366,felzenszwalb,10,25,0.27364284852394116,30,91
367,felzenszwalb,100,25,0.9992389463669805,3,91
368,felzenszwalb,10,10,0.19492502891150454,99,92
369,felzenszwalb,100,10,0.9998621123613125,2,92
370,felzenszwalb,10,25,0.26638203826869034,26,92
371,felzenszwalb,100,25,0.27034871222650114,1,92
372,felzenszwalb,10,10,0.1963655436592553,111,93
373,felzenszwalb,100,10,0.5797868971024034,109,93
374,felzenszwalb,10,25,0.9725194235330563,39,93
375,felzenszwalb,100,25,0.2653099196100941,1,93
376,felzenszwalb,10,10,0.2599977619305571,145,94
377,felzenszwalb,100,10,0.31394198251700844,188,94
378,felzenszwalb,10,25,0.3064763814473146,40,94
379,felzenszwalb,100,25,0.2970827935696396,166,94
380,felzenszwalb,10,10,0.23493073478870563,133,95
381,felzenszwalb,100,10,0.9998810791726975,2,95
382,felzenszwalb,10,25,0.10388369036448408,53,95
383,felzenszwalb,100,25,0.27201672057238635,1,95
384,felzenszwalb,10,10,0.19234695937588142,106,96
385,felzenszwalb,100,10,0.16241305332778425,85,96
386,felzenszwalb,10,25,0.0842414024110647,43,96
387,felzenszwalb,100,25,0.2644650163928087,1,96
388,felzenszwalb,10,10,0.2220821908389381,124,97
389,felzenszwalb,100,10,0.9989843994867786,2,97
390,felzenszwalb,10,25,0.10702667038632319,53,97
391,felzenszwalb,100,25,0.26361864536193347,1,97
392,felzenszwalb,10,10,0.14919034185180702,81,98
393,felzenszwalb,100,10,0.7198886034166447,3,98
394,felzenszwalb,10,25,0.06756233222610553,32,98
395,felzenszwalb,100,25,0.2703487121864421,1,98
396,felzenszwalb,10,10,0.18279106230830433,99,99
397,felzenszwalb,100,10,0.20625956079226915,115,99
398,felzenszwalb,10,25,0.08331219701749804,33,99
399,felzenszwalb,100,25,0.2636186457250983,1,99
